ingredient_code,standard_name_kr,standard_name_en,alias_kr,alias_en
성분사전 표준화명칭목록,,,,
2026.06.30 기준,,,,
22686,사철쑥/양배추잎/현미/검정콩/톳/다시마/뽕나무잎/녹두/소나무잎/검은깨/시금치잎추출물,,,
22687,발아흑미추출물,,,
22688,발아흑미가루,,,
22689,발아현미가루,,,
22690,인체제대혈간세포배양액추출물,Human Cord Blood Progenitor Cell Conditioned MediaExtract,,
22691,비피도박테리움/락토바실러스/효모/웨이셀라/당밀발효여과물,,,
22692,검은깨,,,
22693,헵타펩타이드-48,Heptapeptide-48,,
22694,쿼터늄-98,Quaternium-98,,
22695,데카펩타이드-37,Decapeptide-37,,
22696,락토바실러스/녹용/사슴뿔/(산수유/오미자)열매/(천문동/황기/인삼/석잠풀/하늘타리)뿌리/하늘타리씨/밤껍질발효추출물,Lactobacillus/Antler Velvet/Deer Antler/(CornusOfficinalis/Schisandra Chinensis Fruit)/(AsparagusCochinchinensis/Astragalus Membranaceus/PanaxGinseng/Stachys Japonica/Trichosanthes Kirilowii,,
22697,락토바실러스/초유발효추출여과물,Root)/Trichosanthes Kirilowii Seed/Chestnut Shell FermentLactobacillus/Colostrum Ferment Extract Filtrate,,
22698,트리코데르마 아트로비리데/감자전분/밀가루발효추출여과물,Trichoderma Atroviride/Potato Starch/Wheat FlourFerment Extract Filtrate,,
22699,제주비단망사추출물,Martensia Jejuensis Extract,,
22700,바다고리풀추출물,Asparagopsis Taxiformis Extract,,
22701,큰잎모자반추출물,,,
22702,하이드롤라이즈드소초유추출물,Hydrolyzed Cow Colostrum Extract,하이드롤라이즈드소초유여과물,
22703,바실러스/올리고사카라이드/탱자발효여과물,,,
22704,바실러스/보검선인장줄기/(바실러스/올리고사카라이드/탱자발효여과물)발효여과물,,,
22705,바실러스/가시여지잎/(바실러스/올리고사카라이드/탱자발효여과물)발효여과물,,,
22706,바실러스/황토/[바실러스/가시여지잎/(바실러스/올리고사카라이드/탱자발효여과물)발효여과물]/[바실러스/보검선인장줄기/(바실러스/올리고사카라이드/탱자발효여과물)발효여과물]발효여과물,,,
22707,뱀오일,Snake Oil,,
