"ingredient","빈도(상품수)","성분_유형","ingredient_tag","label_confidence","검수필요"
"구주소나무잎오일","8","미분류","","",""
"캐모마일꽃오일","8","미분류","","",""
"아세틸테트라펩타이드-2","8","미분류","","",""
"팔미토일헥사펩타이드-12","7","미분류","","",""
"타임잎추출물*","7","미분류","","",""
"부틸렌글라이콜다이카프릴레이트/다이카프레이트","7","미분류","","",""
"하이드록시프로필비스팔미타마이드엠이에이","7","미분류","","",""
"망가니즈글루코네이트","7","미분류","","",""
"비트레오스실라발효물","7","미분류","","",""
"병풀꽃/잎/줄기추출물","7","미분류","","",""
"포스파티딜콜린","7","미분류","","",""
"소듐하이알루로네이트(1","7","미분류","","",""
"솔비탄세스퀴올리에이트","7","미분류","","",""
"수용성프로테오글리칸","7","미분류","","",""
"연어알추출물","7","미분류","","",""
"티옥틱애씨드","7","미분류","","",""
"도둑놈의지팡이뿌리추출물","7","미분류","","",""
"육계나무껍질추출물","7","미분류","","",""
"클로페네신","7","미분류","","",""
"아라비아고무나무검","7","미분류","","",""
"하이드롤라이즈드오크라추출물","7","미분류","","",""
"에피갈로카테킨갈레이트","7","미분류","","",""
"클로렐라 불가리스추출물","7","미분류","","",""
"판테놀(5","7","미분류","","",""
"비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머","7","미분류","","",""
"4-터피네올","7","미분류","","",""
"타우린","7","미분류","","",""
"벤질살리실레이트","7","미분류","","",""
"편백잎추출물","7","미분류","","",""
"오렌지껍질오일","7","미분류","","",""
"대왕소나무잎추출물","7","미분류","","",""
"하이드롤라이즈드디엔에이","7","미분류","","",""
"흰목이버섯추출물","7","미분류","","",""
"트라이메틸실록시실리케이트","7","미분류","","",""
"합성플루오르플로고파이트","7","미분류","","",""
"하이드로제네이티드포스파티딜콜린","7","미분류","","",""
"귀리커넬추출물","7","미분류","","",""
"아티초크잎추출물","7","미분류","","",""
"쌀추출물","7","미분류","","",""
"하이드록시프로필메틸셀룰로오스스테아록시에터","7","미분류","","",""
"폴리실리콘-11","7","미분류","","",""
"라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘","7","미분류","","",""
"에칠헥실메톡시신나메이트","7","미분류","","",""
"수용성콜라겐","7","미분류","","",""
"라임전초오일","7","미분류","","",""
"다이실록세인","6","미분류","","",""
"오렌지껍질오일**","6","미분류","","",""
"라임전초오일**","6","미분류","","",""
"센티드제라늄꽃오일**","6","미분류","","",""
"로즈마리잎오일**","6","미분류","","",""
"소듐글루코네이트","6","미분류","","",""
"펜타에리스리틸테트라아이소스테아레이트","6","미분류","","",""
"퀸즈랜드넛오일","6","미분류","","",""
"한련초잎추출물","6","미분류","","",""
"비파나무잎추출물","6","미분류","","",""
"스피어민트추출물","6","미분류","","",""
"트라이하이드록시스테아린","6","미분류","","",""
"야콘뿌리즙","6","미분류","","",""
"알파-글루칸올리고사카라이드","6","미분류","","",""
"다이카프릴릴에터","6","미분류","","",""
"베타인살리실레이트","6","미분류","","",""
"글라이코리피드","6","미분류","","",""
"람노오스","6","미분류","","",""
"호장근뿌리추출물","6","미분류","","",""
"로즈마리잎추출물","6","미분류","","",""
"다이페닐실록시페닐트라이메티콘","6","미분류","","",""
"바이오사카라이드검-4","6","미분류","","",""
"카놀라오일","6","미분류","","",""
"메틸카프로오일타이로지네이트","6","미분류","","",""
"다마스크장미꽃수","6","미분류","","",""
"아보카도오일","6","미분류","","",""
"트라이프로필렌글라이콜","6","미분류","","",""
"아스코빌팔미테이트","6","미분류","","",""
"자작나무수액(10","6","미분류","","",""
"베헤닉애씨드","6","미분류","","",""
"판토테닉애씨드","6","미분류","","",""
"수크로오스라우레이트","6","미분류","","",""
"드럼스틱씨오일","6","미분류","","",""
"폴릭애씨드","6","미분류","","",""
"알바수련꽃추출물","6","미분류","","",""
"아크릴레이트/스테아릴메타크릴레이트코폴리머","6","미분류","","",""
"마그네슘클로라이드","6","미분류","","",""
"흰서양송로추출물","6","미분류","","",""
"락틱애씨드","6","미분류","","",""
"트레할로스","6","미분류","","",""
"라피노오스","6","미분류","","",""
"황색4호","6","미분류","","",""
"지모뿌리추출물","6","미분류","","",""
"다마스크장미꽃오일","6","미분류","","",""
"마이크로크리스탈린셀룰로오스","6","미분류","","",""
"하이드록시피나콜론레티노에이트","6","미분류","","",""
"다이페닐다이메티콘","6","미분류","","",""
"아이리쉬모스가루","6","미분류","","",""
"폴리글루타믹애씨드","6","미분류","","",""
"포트마리골드꽃추출물","6","미분류","","",""
"캐모마일꽃추출물","6","미분류","","",""
"피이지-6","6","미분류","","",""
"알로에베라잎즙","6","미분류","","",""
"콜라겐","6","미분류","","",""
"바오밥나무씨오일","6","미분류","","",""
"알루미늄스테아레이트","6","미분류","","",""
"아이소프로필티타늄트라이아이소스테아레이트","6","미분류","","",""
"적색산화철 (CI 77491)","6","미분류","","",""
"자일로오스","6","미분류","","",""
"다이팔미토일하이드록시프롤린","6","미분류","","",""
"스타아니스열매/씨오일","6","미분류","","",""
"마그네슘아스코빌포스페이트","5","미분류","","",""
"폴스애플민트잎추출물*","5","미분류","","",""
"로즈힙열매추출물*","5","미분류","","",""
"레몬밤꽃/잎/줄기수*","5","미분류","","",""
"로즈마리잎수*","5","미분류","","",""
"붉은토끼풀꽃추출물","5","미분류","","",""
"에난티아 클로란타껍질추출물","5","미분류","","",""
"올레아놀릭애씨드","5","미분류","","",""
"세틸피이지/피피지-10/1다이메티콘","5","미분류","","",""
"펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트","5","미분류","","",""
"메틸다이하이드로자스모네이트","5","미분류","","",""
"효모발효추출물","5","미분류","","",""
"에스에이치-올리고펩타이드-1","5","미분류","","",""
"레스베라트롤","5","미분류","","",""
"소듐헤파린","5","미분류","","",""
"500ppm)","5","미분류","","",""
"효모발효물","5","미분류","","",""
"피토스테릴/베헤닐/옥틸도데실라우로일글루타메이트","5","미분류","","",""
"아세틸헥사펩타이드-1","5","미분류","","",""
"다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트","5","미분류","","",""
"오일팜오일","5","미분류","","",""
"덱스트란","5","미분류","","",""
"식물성스쿠알란","5","미분류","","",""
"세틸팔미테이트","5","미분류","","",""
"버지니아풍년화추출물","5","미분류","","",""
"멜론추출물","5","미분류","","",""
"소듐트라이메타포스페이트","5","미분류","","",""
"글라이콜릭애씨드","5","미분류","","",""
"드럼스틱씨추출물","5","미분류","","",""
"티트리꽃/잎/줄기추출물","5","미분류","","",""
"작약뿌리추출물","5","미분류","","",""
"벤질벤조에이트","5","미분류","","",""
"하이드록시시트로넬알","5","미분류","","",""
"오카무라큰실말추출물","5","미분류","","",""
"베르가모트잎추출물","5","미분류","","",""
"폴리글리세릴-6카프릴레이트","5","미분류","","",""
"쑥잎추출물","5","미분류","","",""
"매실추출물","5","미분류","","",""
"비타민나무수","5","미분류","","",""
"레몬밤잎추출물","5","미분류","","",""
"디엔에이","5","미분류","","",""
"멕시칸치아씨추출물","5","미분류","","",""
"셀룰로오스","5","미분류","","",""
"벤조익애씨드","5","미분류","","",""
"포도추출물","5","미분류","","",""
"세트리모늄브로마이드","5","미분류","","",""
"헥실데칸올","5","미분류","","",""
"사과씨추출물","5","미분류","","",""
"옥탄다이올","5","미분류","","",""
"아세틸테트라펩타이드-11","5","미분류","","",""
"멕시칸주니퍼오일","5","미분류","","",""
"온천수","5","미분류","","",""
"밤껍질추출물","5","미분류","","",""
"감나무잎추출물","5","미분류","","",""
"피피지-26-부테스-26","5","미분류","","",""
"디소듐이디티에이","5","미분류","","",""
"바질오일","5","미분류","","",""
"이리추출물","5","미분류","","",""
"아텔로콜라겐","5","미분류","","",""
"레티놀","5","미분류","","",""
"글리세릴폴리아크릴레이트","5","미분류","","",""
"바실러스/소이빈발효추출물","5","미분류","","",""
"소듐아크릴레이트/비닐알코올코폴리머","5","미분류","","",""
"산소","5","미분류","","",""
"호모살레이트","5","미분류","","",""
"울트라마린","5","미분류","","",""
"옥토크릴렌","5","미분류","","",""
"폴리우레탄-15","5","미분류","","",""
"밀몽화꽃추출물","5","미분류","","",""
"라우릴다이메티콘/폴리글리세린-3크로스폴리머","5","미분류","","",""
"산양삼추출물","5","미분류","","",""
"황색산화철 (CI 77492)","5","미분류","","",""
"페퍼민트오일","5","미분류","","",""
"C12-16알코올","5","미분류","","",""
"아틀라스시다나무껍질오일","5","미분류","","",""
"메톡시피이지-114/폴리엡실론카프로락톤","5","미분류","","",""
"복사나무잎추출물","5","미분류","","",""
"하이드롤라이즈드기장","5","미분류","","",""
"카르니틴","5","미분류","","",""
"칼슘락테이트","5","미분류","","",""
"아벤느 온천수(아쿠아)","5","미분류","","",""
"적색504호","4","미분류","","",""
"유칼립투스잎추출물*+","4","미분류","","",""
"비터오렌지꽃오일+","4","미분류","","",""
"토탄추출물+","4","미분류","","",""
"양버들껍질/싹/잎/잔가지추출물+","4","미분류","","",""
"프렌치로즈꽃추출물+","4","미분류","","",""
"흰서양송로추출물+","4","미분류","","",""
"효모/감자추출물발효여과물","4","미분류","","",""
"스테아릴헵타노에이트","4","미분류","","",""
"탱자추출물","4","미분류","","",""
"피이지/피피지/폴리부틸렌글라이콜-8/5/3글리세린","4","미분류","","",""
"라우릴글루코사이드","4","미분류","","",""
"멜라토닌","4","미분류","","",""
"하이드로제네이티드쌀겨오일","4","미분류","","",""
"하이드록시프로필메틸셀룰로오스","4","미분류","","",""
"폴리글리세릴-6다이스테아레이트","4","미분류","","",""
"소듐메틸스테아로일타우레이트","4","미분류","","",""
"아세틸다이펩타이드-1세틸에스터","4","미분류","","",""
"칼슘판토테네이트","4","미분류","","",""
"100 ppm)","4","미분류","","",""
