"ingredient","빈도(상품수)","성분_유형","ingredient_tag","label_confidence","검수필요"
"*제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다.  최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.","2","미분류","","",""
"비스-다이글리세릴폴리아실아디페이트-2","2","미분류","","",""
"마카뿌리추출물","2","미분류","","",""
"하이드롤라이즈드치자추출물","2","미분류","","",""
"세틸에칠헥사노에이트","2","미분류","","",""
"카바카바잎/뿌리/줄기추출물","2","미분류","","",""
"율무씨추출물","2","미분류","","",""
"천궁뿌리추출물","2","미분류","","",""
"크레아틴","2","미분류","","",""
"소르빅애씨드","2","미분류","","",""
"판테놀(1%)","2","미분류","","",""
"피이지-30다이폴리하이드록시스테아레이트","2","미분류","","",""
"폴리글리세릴-3다이아이소스테아레이트","2","미분류","","",""
"카라기난","2","미분류","","",""
"인삼추출물","2","미분류","","",""
"락토바실러스발효용해물*","2","미분류","","",""
"2,3-부탄다이올+","2","미분류","","",""
"하이드로제네이티드레시틴+","2","미분류","","",""
"하이드록시프롤린","2","미분류","","",""
"수크로오스스테아레이트+","2","미분류","","",""
"세라마이드엔피+","2","미분류","","",""
"비니거*","2","미분류","","",""
"콜레스테롤+","2","미분류","","",""
"메도우스위트추출물","2","미분류","","",""
"글리세릴스테아레이트+","2","미분류","","",""
"리놀레익애씨드+","2","미분류","","",""
"팔미틱애씨드+","2","미분류","","",""
"타히티바닐라추출물","2","미분류","","",""
"세라마이드에이피+","2","미분류","","",""
"세라마이드엔지+","2","미분류","","",""
"락토바실러스/배즙발효여과물*","2","미분류","","",""
"효모/보리씨발효여과물*","2","미분류","","",""
"수박추출물*","2","미분류","","",""
"무추출물*","2","미분류","","",""
"락토바실러스/인삼뿌리발효여과물*","2","미분류","","",""
"락토바실러스/콩발효추출물*","2","미분류","","",""
"락토바실러스/부레옥잠발효물*","2","미분류","","",""
"모나스커스/쌀발효물*","2","미분류","","",""
"효모/포도발효추출물*","2","미분류","","",""
"효모/감자추출물발효여과물*","2","미분류","","",""
"효모/자일리눔/홍차발효물*","2","미분류","","",""
"세라마이드이오피+","2","미분류","","",""
"단풍나무잎추출물*","2","미분류","","",""
"창포뿌리추출물*","2","미분류","","",""
"개다래추출물*","2","미분류","","",""
"으름덩굴추출물*","2","미분류","","",""
"양파추출물*","2","미분류","","",""
"마늘추출물*","2","미분류","","",""
"지모뿌리추출물*","2","미분류","","",""
"쑥잎추출물*","2","미분류","","",""
"사탕무뿌리추출물*","2","미분류","","",""
"양배추추출물*","2","미분류","","",""
"순무잎추출물*","2","미분류","","",""
"동백나무잎추출물*","2","미분류","","",""
"파파야열매추출물*","2","미분류","","",""
"잇꽃꽃추출물*","2","미분류","","",""
"결명씨추출물*","2","미분류","","",""
"병풀추출물*","2","미분류","","",""
"모과추출물*","2","미분류","","",""
"치커리뿌리추출물*","2","미분류","","",""
"베르가모트잎추출물*","2","미분류","","",""
"유자추출물*","2","미분류","","",""
"귤껍질추출물*","2","미분류","","",""
"더덕뿌리추출물*","2","미분류","","",""
"쿠네아타산사열매추출물*","2","미분류","","",""
"오이열매추출물*","2","미분류","","",""
"울금뿌리추출물*","2","미분류","","",""
"당근추출물*","2","미분류","","",""
"감추출물*","2","미분류","","",""
"쇠뜨기추출물*","2","미분류","","",""
"비파나무잎추출물*","2","미분류","","",""
"무화과추출물*","2","미분류","","",""
"허브로버트추출물*","2","미분류","","",""
"긴병꽃풀추출물*","2","미분류","","",""
"스페인감초뿌리추출물*","2","미분류","","",""
"잎새버섯자실체추출물*","2","미분류","","",""
"해바라기씨추출물*","2","미분류","","",""
"원추리꽃추출물*","2","미분류","","",""
"고구마뿌리추출물*","2","미분류","","",""
"표고버섯추출물*","2","미분류","","",""
"레몬버베나잎추출물*","2","미분류","","",""
"인동덩굴꽃추출물*","2","미분류","","",""
"구기자추출물*","2","미분류","","",""
"레몬밤추출물*","2","미분류","","",""
"페퍼민트꽃/잎/줄기추출물*","2","미분류","","",""
"산뽕나무잎추출물*","2","미분류","","",""
"바나나추출물*","2","미분류","","",""
"연꽃뿌리추출물*","2","미분류","","",""
"바질잎추출물*","2","미분류","","",""
"기장추출물*","2","미분류","","",""
"소엽잎추출물*","2","미분류","","",""
"팥추출물*","2","미분류","","",""
"왕질경이씨추출물*","2","미분류","","",""
"도라지뿌리추출물*","2","미분류","","",""
"쇠비름추출물*","2","미분류","","",""
"살구추출물*","2","미분류","","",""
"복숭아추출물*","2","미분류","","",""
"자두추출물*","2","미분류","","",""
"사과추출물*","2","미분류","","",""
"지황뿌리추출물*","2","미분류","","",""
"로즈마리잎추출물*","2","미분류","","",""
"라즈베리추출물*","2","미분류","","",""
"살비아잎추출물*","2","미분류","","",""
"얼룩조릿대잎추출물*","2","미분류","","",""
"형개추출물*","2","미분류","","",""
"검은깨추출물*","2","미분류","","",""
"시금치추출물*","2","미분류","","",""
"서양민들레잎추출물*","2","미분류","","",""
"하늘타리뿌리추출물*","2","미분류","","",""
"미역추출물*","2","미분류","","",""
"생강추출물*","2","미분류","","",""
"마트리카리아꽃추출물*","2","미분류","","",""
"은행추출물*","2","미분류","","",""
"약모밀추출물*","2","미분류","","",""
"락토바실러스/호밀가루발효물*","2","미분류","","",""
"락토바실러스/고추냉이뿌리발효추출물*","2","미분류","","",""
"트라이메틸펜타페닐트라이실록세인","2","미분류","","",""
"하이드롤라이즈드콜라겐(1ppb)","2","미분류","","",""
"해마토코쿠스 플루비알리스오일","2","미분류","","",""
"아텔로콜라겐(0.01ppb)","2","미분류","","",""
"폴리락틱애씨드(10","2","미분류","","",""
"병풀추출물 100","2","미분류","","",""
"부활초 추출물","2","미분류","","",""
"Napiers original formula","2","미분류","","",""
"Napiers moisture formula","2","미분류","","",""
"식물 유래 향)","2","미분류","","",""
"에키네시아추출물","2","미분류","","",""
"꿀추출물","2","미분류","","",""
"소듐폴리감마-글루타메이트","2","미분류","","",""
"흰목이버섯폴리사카라이드","2","미분류","","",""
"불등가사리추출물","2","미분류","","",""
"온천수*","2","미분류","","",""
"칼슘글루코네이트","2","미분류","","",""
"마그네슘글루코네이트","2","미분류","","",""
"C12-14알케스-12","2","미분류","","",""
"구아검","2","미분류","","",""
"비니거","2","미분류","","",""
"포스포리피드","2","미분류","","",""
"포도주추출물","2","미분류","","",""
"파네솔","2","미분류","","",""
"데이지꽃추출물","2","미분류","","",""
"왕귤껍질오일","2","미분류","","",""
"노티드랙추출물","2","미분류","","",""
"엘더꽃추출물","2","미분류","","",""
"월귤잎추출물","2","미분류","","",""
"에델바이스꽃/잎추출물","2","미분류","","",""
"당아욱꽃/잎/줄기추출물","2","미분류","","",""
"레이디스맨틀꽃/잎/줄기추출물","2","미분류","","",""
"서양톱풀꽃/잎/줄기추출물","2","미분류","","",""
"스피드웰꽃/잎/줄기추출물","2","미분류","","",""
"카우슬립꽃추출물","2","미분류","","",""
"화산재","2","미분류","","",""
"에틸헥실올리베이트","2","미분류","","",""
"소듐디엔에이(5","2","미분류","","",""
"소듐폴리아크릴로일다이메틸타우레 이트","2","미분류","","",""
"소듐하이알루로네이트(1.02PPM)","2","미분류","","",""
"하이드록시프로필트라이모늄하이알루로네이트(0.1PPM)","2","미분류","","",""
"꿀풀추출물","2","미분류","","",""
"블래더랙추출물","2","미분류","","",""
"소듐아세틸레이티드하이알루로네이트(0.01PPM)","2","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(0.01PPM)","2","미분류","","",""
"하이알루로닉애씨드(0.0025PPM)","2","미분류","","",""
"소듐하이알루로네이트크로스폴리머(0.001PPM)","2","미분류","","",""
"하이드롤라이즈드소듐하이알루로네이트(0.001PPM)","2","미분류","","",""
"포타슘하이알루로네이트(0.0002PPM)","2","미분류","","",""
"석류추출물","2","미분류","","",""
"매스틱검","2","미분류","","",""
"콜라겐수(80.9%)","2","미분류","","",""
"081ppm)","2","미분류","","",""
"콜라겐(10.8ppm)","2","미분류","","",""
"진주추출물","2","미분류","","",""
"흰서양송로수","2","미분류","","",""
"다이펩타이드-15","2","미분류","","",""
"프로폴리스추출물(200ppm)","2","미분류","","",""
"캐롭검","2","미분류","","",""
"콜라겐수","2","미분류","","",""
"카프릴릭/카프릭트리글리세라이드","2","미분류","","",""
"에칠헥실글리세린","2","미분류","","",""
"스쿠알란(10","2","미분류","","",""
"과라나씨추출물","2","미분류","","",""
"포타슘소르베이트","2","미분류","","",""
"천연빙하수","2","미분류","","",""
"흰무늬엉겅퀴추출물","1","미분류","","",""
"만주자작나무껍질추출물","1","미분류","","",""
"테르무스 테르모필루스발효물","1","미분류","","",""
"소듐폴리아스파테이트","1","미분류","","",""
"알로에베라잎폴리사카라이드","1","미분류","","",""
"황색4호iln48715/iln48715","1","미분류","","",""
"유칼립투스잎추출물*","1","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(0.01%)","1","미분류","","",""
"하이알루로닉애씨드(0.001%)","1","미분류","","",""
"하이드롤라이즈드소듐하이알루로네이트(0.001%)","1","미분류","","",""
"소듐하이알루로네이트(0.01%)","1","미분류","","",""
"하이드록시프로필트라이모늄하이알루로네이트(0.001%)","1","미분류","","",""
"소듐하이알루로네이트크로스폴리머(0.000001%)","1","미분류","","",""
"소듐아세틸레이티드하이알루로네이트(0.001%)","1","미분류","","",""
"소듐폴리아크릴레이트스타치","1","미분류","","",""
"로즈마리잎오일+","1","미분류","","",""
"라임전초오일+","1","미분류","","",""
"센티드제라늄꽃오일+","1","미분류","","",""
"오렌지껍질오일+","1","미분류","","",""
"피이지-40스테아레이트","1","미분류","","",""
"컴프리잎추출물","1","미분류","","",""
"별꽃추출물*","1","미분류","","",""
"삼색제비꽃추출물+","1","미분류","","",""
"다마스크장미꽃추출물+","1","미분류","","",""
"메도우스위트꽃추출물+","1","미분류","","",""
"마시멜로뿌리추출물+","1","미분류","","",""
"아이브라이트추출물","1","미분류","","",""
"서양측백나무잎추출물","1","미분류","","",""
"조름나물잎추출물","1","미분류","","",""
"겨우살이추출물","1","미분류","","",""
"별꽃추출물*+","1","미분류","","",""
"쇠뜨기잎추출물+","1","미분류","","",""
"쐐기풀잎추출물+","1","미분류","","",""
"피이지-150","1","미분류","","",""
"025 ppm)","1","미분류","","",""
"아시아티코사이드(42 ppm)","1","미분류","","",""
"아시아틱애씨드(31.5 ppm)","1","미분류","","",""
"마데카식애씨드(31.43 ppm)","1","미분류","","",""
"마누카잎추출물(25 ppm)","1","미분류","","",""
"꿀추출물(20 ppm)","1","미분류","","",""
"병풀꽃/잎/줄기추출물(10 ppm)","1","미분류","","",""
"병풀뿌리추출물(10 ppm)","1","미분류","","",""
"마데카소사이드(1.07 ppm)","1","미분류","","",""
"셀필룸추출물","1","미분류","","",""
"테아닌","1","미분류","","",""
"완두콩추출물","1","미분류","","",""
"다이카프릴릴에테르","1","미분류","","",""
"세틸에스터","1","미분류","","",""
"그린와틀꽃왁스","1","미분류","","",""
"해바라기씨왁스","1","미분류","","",""
"세테아릴아이소노나노에이트","1","미분류","","",""
"폴리글리세릴-4다이아이소스테아레이트/폴리하이드록시스테아레이트/세바케이트","1","미분류","","",""
"징크스테아레이트","1","미분류","","",""
"카퍼설페이트","1","미분류","","",""
"포도덩굴추출물","1","미분류","","",""
"라우레스-3","1","미분류","","",""
"라미나리아 오크롤레우카추출물","1","미분류","","",""
"포타슘솔베이트 (0.003%)","1","미분류","","",""
"뽕나무잎추출물","1","미분류","","",""
"에스에이치-올리고펩타이드-2","1","미분류","","",""
"에스에이치-폴리펩타이드-3","1","미분류","","",""
"에스에이치-폴리펩타이드-9","1","미분류","","",""
"에스에이치-폴리펩타이드-16","1","미분류","","",""
"에스에이치-폴리펩타이드-62","1","미분류","","",""
"에스에이치-폴리펩타이드-11","1","미분류","","",""
"에스에이치-폴리펩타이드-22","1","미분류","","",""
"에스에이치-폴리펩타이드-60","1","미분류","","",""
"양파추출물(10","1","미분류","","",""
"양파추출물(843ppm)","1","미분류","","",""
"하이드롤라이즈드콜라겐(1","1","미분류","","",""
"소듐하이알루로네이트(600ppm)","1","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(300ppm)","1","미분류","","",""
"하이알루로닉애씨드(100ppm)","1","미분류","","",""
"다이메틸실란올하이알루로네이트(750ppb)","1","미분류","","",""
"하이드롤라이즈드소듐하이알루로네이트(750ppb)","1","미분류","","",""
"포타슘하이알루로네이트(500ppb)","1","미분류","","",""
"하이드록시프로필트라이모늄하이알루로네이트(400ppb)","1","미분류","","",""
"소듐하이알루로네이트크로스폴리머(400ppb)","1","미분류","","",""
"소듐하이알루로네이트다이메틸실란올(250ppb)","1","미분류","","",""
"소듐아세틸레이티드하이알루로네이트(200ppb)","1","미분류","","",""
"판테놀(30","1","미분류","","",""
"소듐피씨에이 베타인","1","미분류","","",""
"알란토인(1","1","미분류","","",""
"다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트","1","미분류","","",""
"폴리글리세릴-10다이스테아레이트","1","미분류","","",""
"세릴스테아레이트","1","미분류","","",""
"아세테이트","1","미분류","","",""
"알루로네이트","1","미분류","","",""
"하이드로제네이티드다이데센","1","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(500ppm)","1","미분류","","",""
"시메티콘","1","미분류","","",""
"소듐디엔에이(200ppm)","1","미분류","","",""
"알간나무커넬오일","1","미분류","","",""
"하이드롤라이즈드콜라겐추출물(0.1ppm)","1","미분류","","",""
"피이지-8스테아레이트","1","미분류","","",""
"스위트아몬드오일","1","미분류","","",""
"하이드록시팔미토일스핑가닌","1","미분류","","",""
"스타이렌/아이소프렌코폴리머","1","미분류","","",""
"네오펜틸글라이콜다이헵타노에이트","1","미분류","","",""
"올레아마이드엠이에이","1","미분류","","",""
"포타슘코코일글루타메이트","1","미분류","","",""
"o-사이멘-5-올","1","미분류","","",""
"마데카소사이드(1","1","미분류","","",""
"오일팜커넬오일","1","미분류","","",""
"아이소스테아릴아이소스테아레이트","1","미분류","","",""
"세라마이드엔지","1","미분류","","",""
"시스테인에이치씨엘","1","미분류","","",""
"왜당귀뿌리추출물","1","미분류","","",""
"삽주뿌리줄기추출물","1","미분류","","",""
"질경이추출물","1","미분류","","",""
"복숭아씨추출물","1","미분류","","",""
"황해쑥잎수(35","1","미분류","","",""
"724ppm)","1","미분류","","",""
"메티콘","1","미분류","","",""
"ppm)","1","미분류","","",""
"올레핀)","1","미분류","","",""
"폴리머","1","미분류","","",""
"릴레이트","1","미분류","","",""
"잎추출물(10 ppm)","1","미분류","","",""
"아디픽애씨드","1","미분류","","",""
"'하이드롤라이즈드하이알루로닉애씨드(500","1","미분류","","",""
"소듐하이알루로네이트크로스폴리머(3.5ppb)","1","미분류","","",""
"하이드록시프로필트라이모늄하이알루로네이트(0.42ppb)","1","미분류","","",""
"하이알루로닉애씨드(0.035ppb)","1","미분류","","",""
"소듐아세틸레이티드하이알루로네이트(0.007ppb)","1","미분류","","",""
"비즈왁스","1","미분류","","",""
"폴리글리세릴-3폴리리시놀리에이트","1","미분류","","",""
"하수오뿌리추출물","1","미분류","","",""
"하이드로제네이티드코코-글리세라이즈","1","미분류","","",""
"다이스타치포스페이트","1","미분류","","",""
"소듐하이알루로네이트(0.25%)","1","미분류","","",""
"글리시레티닉애씨드","1","미분류","","",""
"돌콩배아추출물","1","미분류","","",""
"칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물*","1","미분류","","",""
"해바라기씨오일*","1","미분류","","",""
"아시아티코사이드*","1","미분류","","",""
"아시아틱애씨드*","1","미분류","","",""
"마데카식애씨드*","1","미분류","","",""
"헥사펩타이드 -9","1","미분류","","",""
"레몬수","1","미분류","","",""
"폴리솔 베이트60","1","미분류","","",""
"티타늄디옥사 이드","1","미분류","","",""
"잇꽃씨 오일","1","미분류","","",""
"수크로오스테트라아이소스테아레이트","1","미분류","","",""
"글리세릴 스테아레이트","1","미분류","","",""
"아크릴레이트/C10-30알킬아크릴레이트 크로스폴리머","1","미분류","","",""
"하이드로제네이티드 폴리데센","1","미분류","","",""
"타마 린드씨검","1","미분류","","",""
"마카다미아씨추출물","1","미분류","","",""
"블랙커민씨추출물","1","미분류","","",""
"잇꽃씨추출물","1","미분류","","",""
"포타슘 솔베이트","1","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(200ppm)","1","미분류","","",""
"나이아신아마이드(1","1","미분류","","",""
"징크피씨에이(10 ppm)","1","미분류","","",""
"도코사헥사에노익애씨드","1","미분류","","",""
"약모밀소포","1","미분류","","",""
"하수오전초추출물","1","미분류","","",""
"약모밀추출물(100","1","미분류","","",""
"향료료","1","미분류","","",""
"약모밀추출물(3","1","미분류","","",""
"500 ppm)","1","미분류","","",""
"동백나무꽃추출물","1","미분류","","",""
"하이드롤라이즈드레시틴","1","미분류","","",""
"카프릴릴/카프릴트라이글리세라이드","1","미분류","","",""
"로즈힙추출물","1","미분류","","",""
"폴라지닌","1","미분류","","",""
"하이알루로닉애씨드/하이드롤라이즈드콜라겐크로스폴리머","1","미분류","","",""
"스타이렌/브이피코폴리머","1","미분류","","",""
"*리모넨","1","미분류","","",""
"*리날룰","1","미분류","","",""
"피토스테릴/옥틸도데실라우로일글루타메이트","1","미분류","","",""
"체이스트트리추출물","1","미분류","","",""
"만주자작나무수액","1","미분류","","",""
"아사이팜열매추출물","1","미분류","","",""
"글루코오스(100 ppb)","1","미분류","","",""
"글루타민","1","미분류","","",""
"아스파라진","1","미분류","","",""
"마그네슘시트레이트","1","미분류","","",""
"글루코사민에이치씨엘","1","미분류","","",""
"1-메틸하이단토인-2-이미드","1","미분류","","",""
"포믹애씨드","1","미분류","","",""
"암모니아","1","미분류","","",""
"비타민나무수(117","1","미분류","","",""
"판테놀(100ppm)","1","미분류","","",""
"레몬머틀잎오일","1","미분류","","",""
"아스코빅애씨드(1","1","미분류","","",""
"토코페롤(0.003ppm)","1","미분류","","",""
"포타슘하이알루로네이트(0.2ppb)","1","미분류","","",""
"스트렙토코쿠스테르모필루스발효물","1","미분류","","",""
"병풀잎추출물(2.1ppm)","1","미분류","","",""
"병풀꽃/잎/줄기추출물(1.0ppm)","1","미분류","","",""
"병풀뿌리 추출물(1.0ppm)","1","미분류","","",""
"병풀추출물(0.02ppm)","1","미분류","","",""
"칼슘클로 라이드","1","미분류","","",""
"데하이드로잔탄검","1","미분류","","",""
"메틸다이아이소프로필 프로피온아마이드","1","미분류","","",""
"하이 드로제네이티드레시틴","1","미분류","","",""
"마데카소사이드(0.18ppm)","1","미분류","","",""
"아시아티코사이드(0.002ppm)","1","미분류","","",""
"마데카식애씨드(0.002ppm)","1","미분류","","",""
"아시아틱애씨드(0.0008ppm)","1","미분류","","",""
"프로필렌글라이콜카프릴레이트","1","미분류","","",""
"포타슘솔베이트　*제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다. 최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다.","1","미분류","","",""
"피피지-10메틸글루코오스에터","1","미분류","","",""
"다이소듐석시네이트","1","미분류","","",""
"C12-13알킬글리세릴하이드롤라이즈드하이알루로네이트","1","미분류","","",""
"락토코쿠스/하이알루로닉애씨드발효여과물","1","미분류","","",""
"아파노테케 사크룸엑소폴리사카라이즈","1","미분류","","",""
"에스에이치-올리고펩타이드-23에스피","1","미분류","","",""
"씨대퍼딜추출물","1","미분류","","",""
"녹두추출물(200ppm)","1","미분류","","",""
"카프릴로일살리실릭애씨드(10ppm)","1","미분류","","",""
"녹두씨추출물(5ppm)","1","미분류","","",""
"유채싹추출물","1","미분류","","",""
"해바라기싹추출물","1","미분류","","",""
"녹두싹추출물(0.1ppm)","1","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(932601.50052ppm)","1","미분류","","",""
"소듐하이알루로네이트(1.0052ppm)","1","미분류","","",""
"카프릴릴/카프릭트라이글리세라이드","1","미분류","","",""
"하이알루로닉애씨드(1.00001ppm)","1","미분류","","",""
"하이드롤라이즈드글라이코사미노글리칸(0.0056ppm)","1","미분류","","",""
"하이드롤라이즈드소듐하이알루로네이트(1.5ppm)","1","미분류","","",""
"하이드록시프로필트라이모늄하이알루로네이트(0.80012ppm)","1","미분류","","",""
"소듐아세틸레이티드하이알루로네이트(0.400002ppm)","1","미분류","","",""
"소듐하이알루로네이트크로스폴리머(0.801ppm)","1","미분류","","",""
"디메칠이미다졸리디논쌀전분","1","미분류","","",""
"자몽추출물","1","미분류","","",""
"고삼추출물","1","미분류","","",""
"팔각회향추출물","1","미분류","","",""
"위치하젤잎수","1","미분류","","",""
"펜타에리스리틸테트라에칠헥사노에이트","1","미분류","","",""
"디메치콘올","1","미분류","","",""
"과물시계꽃씨오일","1","미분류","","",""
"행인오일","1","미분류","","",""
"옥수수오일","1","미분류","","",""
"비트레오실라발효물","1","미분류","","",""
"마그네슘피씨에이 포타슘피씨에이","1","미분류","","",""
"2-올레아미도-1","1","미분류","","",""
"3-옥타데칸디올","1","미분류","","",""
"부틸페닐메칠프로피오날","1","미분류","","",""
"하이드록시이소헥실3-사이클로헥센카복스알데하이드 카퍼피씨에이","1","미분류","","",""
"헥실니코티네이트","1","미분류","","",""
"병풀잎수(94%)","1","미분류","","",""
"1,2 -헥산다이올","1","미분류","","",""
"병풀잎수(990ppm)","1","미분류","","",""
"아크릴레이트 /C10-30알킬아크릴레이트크로스폴리머","1","미분류","","",""
"병풀추출물(100 ppm)","1","미분류","","",""
"돌나물추출물","1","미분류","","",""
"황련추출물","1","미분류","","",""
"하이드롤라이즈드칼슘하이알루로네이트","1","미분류","","",""
"소듐설페이티드하이알루로네이트","1","미분류","","",""
"소듐스테아로일하이알루로네이트","1","미분류","","",""
"히아루론산 총량 140ppm*","1","미분류","","",""
"참나무이끼추출물","1","미분류","","",""
"나무이끼추출물","1","미분류","","",""
"병풀잎수(828","1","미분류","","",""
"168ppm)","1","미분류","","",""
"약모밀수(30","1","미분류","","",""
"380ppm)","1","미분류","","",""
"병풀잎수(625","1","미분류","","",""
"219ppm)","1","미분류","","",""
"펜타에리스리틸테트라에틸헥사 노에이트","1","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(29","1","미분류","","",""
"049ppm)","1","미분류","","",""
"소듐하이알루로 네이트(800ppm)","1","미분류","","",""
"소듐디엔에이(100ppm)","1","미분류","","",""
"하이알 루로닉애씨드(30ppm)","1","미분류","","",""
"하이드롤라이즈드소듐하이알루로네이 트(30ppm)","1","미분류","","",""
"하이드록시프로필트라이모늄하이알루로네이트 (30ppm)","1","미분류","","",""
"포타슘하이알루로네이트(30ppm)","1","미분류","","",""
"소듐하이알루 로네이트크로스폴리머(30ppm)","1","미분류","","",""
"소듐아세틸레이티드하이알 루로네이트(1ppm)","1","미분류","","",""
"몰로키아잎추출물**","1","미분류","","",""
"신선초추출물**","1","미분류","","",""
"연꽃뿌리추출물**","1","미분류","","",""
"오크라열매추출물**","1","미분류","","",""
"참마뿌리추출물**","1","미분류","","",""
"아시아티코사이드*(4","1","미분류","","",""
"800ppm)","1","미분류","","",""
"마데카식애씨드*(3","1","미분류","","",""
"아시아틱애씨드*(3","1","미분류","","",""
"징크피씨에이(1ppm)","1","미분류","","",""
"락토바실러스세포외소포","1","미분류","","",""
"하이알루로닉애씨드 (100PPM)","1","미분류","","",""
"소듐하이알루로네이트크로스폴리머-6","1","미분류","","",""
"마데카소사이드(540 ppm)","1","미분류","","",""
"병풀추출물(51 ppm)","1","미분류","","",""
"아시아티코사이드(39 ppm)","1","미분류","","",""
"병풀잎추출물(21 ppm)","1","미분류","","",""
"마데카식애씨드(0.00004 ppm)","1","미분류","","",""
"아시아틱애씨드(0.00003 ppm)","1","미분류","","",""
"징크피씨에이(징크로서","1","미분류","","",""
"1%)","1","미분류","","",""
"아세틸헥사펩타이드-8(5 ppm)","1","미분류","","",""
"카퍼트라이펩타이드-1(5 ppm)","1","미분류","","",""
"에스에이치-폴리펩타이드-121(1.98 ppm)","1","미분류","","",""
"다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트(0.3 ppm)","1","미분류","","",""
"올리고펩타이드-68(0.095 ppm)","1","미분류","","",""
"팔미토일트라이펩타이드-8(0.02ppm)","1","미분류","","",""
"알루미늄전분옥테닐석시네이트","1","미분류","","",""
"옥틸도데실스테아로일스테아레이트","1","미분류","","",""
"칼라민","1","미분류","","",""
"레틴알(0.1%)","1","미분류","","",""
"트라넥사믹애씨드(4%)","1","미분류","","",""
"글리세릴올리에이트","1","미분류","","",""
"미리스틸글루코사이드","1","미분류","","",""
"폴리글리세릴-6라우레이트","1","미분류","","",""
"식물성스쿠알란(1ppm)","1","미분류","","",""
"3-O-에틸아스코빅애씨드(50","1","미분류","","",""
"세테아릴 올리베이트","1","미분류","","",""
"아스코빅애씨드(10ppm)","1","미분류","","",""
"약모밀추출물(8","1","미분류","","",""
"015 ppm)","1","미분류","","",""
"아시아티코사이드(0.082 ppm)","1","미분류","","",""
"마데카식애씨드(0.068 ppm)","1","미분류","","",""
"아시아틱애씨드(0.05 ppm)","1","미분류","","",""
"병풀추출물(10","1","미분류","","",""
"에틸아스코빅애씨드(20","1","미분류","","",""
"프로테아제(150 ppm)","1","미분류","","",""
"아스코빌테트라이소팔미테이트(100 ppm)","1","미분류","","",""
"테트라소듐글루타메이트다이아세테이트","1","미분류","","",""
"아세틱애씨드","1","미분류","","",""
"탄제린추출물","1","미분류","","",""
"피이지-90","1","미분류","","",""
"실크추출물","1","미분류","","",""
"염소유추출물","1","미분류","","",""
"코질메틸렌다이옥시신나메이트","1","미분류","","",""
"데카펩타이드-4","1","미분류","","",""
"벼에스에이치-올리고펩타이드-1   * 레티놀 함량 509 IU/g","1","미분류","","",""
"클로페네신.","1","미분류","","",""
"다마스크장미꽃수(64.5%)","1","미분류","","",""
"나이아신아마이드(20%)","1","미분류","","",""
"피이지-6카프릴릭/카프릭글리세라이즈","1","미분류","","",""
"글리세릴아이소스테아레이트","1","미분류","","",""
"소듐아세틸레이티드하이알루로네이트(0.01%)","1","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(0.1208%)","1","미분류","","",""
"아이소프로필아이소스테아레이트","1","미분류","","",""
"다이소듐스테아로일글루타메이트","1","미분류","","",""
"하이드롤라이즈드하이알루로닉애씨드(0.0208%)","1","미분류","","",""
"라우레스-7","1","미분류","","",""
"폴리아크릴아마이드","1","미분류","","",""
"폴리엡실론-라이신","1","미분류","","",""
"C13-14아이소알케인","1","미분류","","",""
"아스코빅애씨드(15%)","1","미분류","","",""
"브로콜리추출물","1","미분류","","",""
"황기뿌리추출물","1","미분류","","",""
"황벽나무껍질추출물","1","미분류","","",""
"토코페롤(1","1","미분류","","",""
"000.25 ppm)","1","미분류","","",""
"글루코실루틴","1","미분류","","",""
"폴리글리세릴 -10올리에이트","1","미분류","","",""
"유비퀴논 (0.1ppm)","1","미분류","","",""
"프로판다 이올","1","미분류","","",""
"소듐폴리 아크릴로일다이메틸타우레이트","1","미분류","","",""
"C12-14알케스 -12","1","미분류","","",""
"트라이소듐포스페이트","1","미분류","","",""
"물망초꽃/잎/줄기추출물","1","미분류","","",""
"원추 리꽃추출물","1","미분류","","",""
"카프릴릴 글라이콜","1","미분류","","",""
"아세틸다이펩타이드-1세틸에스터(8ppb)","1","미분류","","",""
"팔미토일트라이펩타이드-5(1.1ppb)","1","미분류","","",""
"아세틸헥 사펩타이드-1(1ppb)","1","미분류","","",""
"아세틸옥타펩타이드-3 (0.5ppb)","1","미분류","","",""
"팔미토일테트라펩타이드-10(0.2ppb)","1","미분류","","",""
"카퍼트라이펩타이드-1 (0.05ppb)","1","미분류","","",""
"올리고펩타이드-3(0.002ppb)","1","미분류","","",""
