"goods_no","product_name","brand_name","ml_표시용량","ml_추정총용량","용량_단위","price_regular","price_sale","price_per_10ml","ingredient"
"A000000257660","오휘 마이스터 포맨 프레쉬 스킨 150ml","오휘","150.0","150.0","ml","55000","46750","3116.7","정제수, 변성알코올, 부틸렌글라이콜, 1, 2-헥산디올, 비니거, 판테놀, 베타인, 옥틸도데세 스-16, 피이지-40하이드로제네이티드캐스터오일, 소듐시트레이트, 트리소듐이디티에이, 시트릭애 씨드, 소듐폴리아크릴레이트, 향료, 리모넨, 리날 룰, 벤질벤조에이트, 시트랄, 제라니올"
"A000000258292","토리든 다이브인 저분자 히알루론산 토너 300ml","토리든","300.0","300.0","ml","","21000","700.0","정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 알란토인, 판테놀, 소듐하이알루로네이트크로스폴리머, 소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(200ppm), 엑토인, 감초추출물, 2,3-부탄다이올, 쇠비름추출물, 트레할로오스, 알지닌, 펜틸렌글라이콜, 말라카이트추출물, 다이소듐이디티에이, 에틸헥실글리세린"
"A000000258293","[NEW] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획 (+100ml)","토리든","300.0","400.0","ml","","21000","525.0","정제수, 부틸렌글라이콜, 다이프로필렌글라이콜, 1,2-헥산다이올, 글리세린, 베타인, 알란토인, 판테놀, 소듐하이알루로네이트크로스폴리머, 소듐하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드(200ppm), 엑토인, 감초추출물, 2,3-부탄다이올, 쇠비름추출물, 트레할로오스, 알지닌, 펜틸렌글라이콜, 말라카이트추출물, 다이소듐이디티에이, 에틸헥실글리세린"
"A000000258894","더랩바이블랑두 올리고 히알루론산 딥 토너 100ml","더랩바이블랑두","100.0","100.0","ml","12000","8900","890.0","정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 베타-글루칸, 베타인, 소듐하이알루로네이트(2,700 ppm), 판테놀, 솔비톨, 아세틸글루코사민, 글루쿠로닉애씨드, 알란토인, 토코페롤, 에틸헥실글리세린, 다이소듐이디티에이"
"A000000261635","[아티스트PICK/화잘먹 토너] 로벡틴 블루 히알루론산 프렙 부스트 토너 120ml","로벡틴","120.0","120.0","ml","","21000","1750.0","정제수, 다이프로필렌글라이콜, 글리세린, 펜틸렌글라이콜, 1,2-헥산다이올, 나이아신아마이드, 소듐하이알루로네이트(1,121ppm), 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 폴리아크릴레이트크로스폴리머-6, 에틸헥실글리세린, 잔탄검, 아데노신, 폴리쿼터늄-51, 다이소듐이디티에이, 덱스트린, 시트릭애씨드, 부틸렌글라이콜, 글리세릴카프릴레이트, 엑토인(51ppm), 치자추출물, 바이오사카라이드검-1, 셀룰로오스, 하이드로제네이티드레시틴, 하이드록시프로필트라이모늄하이알루로네이트(10ppm), 하이드롤라이즈드하이알루로닉애씨드(1,000ppb), 소듐아세틸레이티드하이알루로네이트(1,000ppb), 판테놀, 카페인, 글리세릴글루코사이드, 하이알루로닉애씨드(250ppb), 토코페롤, 소듐하이알루로네이트크로스폴리머(100ppb), 하이드롤라이즈드소듐하이알루로네이트(100ppb), 파파야열매추출물, 포타슘하이알루로네이트(20ppb), 글라이신, 글루타믹애씨드, 알지닌"
"A000000255328","[한정기획] 아누아 어성초 77 히알루론산 수분 진정 토너 350ml 더블기획 (+어성초 크림 20ml)","아누아","350.0","370.0","ml","49000","27500","743.2","[토너] 약모밀꽃/잎/줄기수(77%), 정제수, 1,2-헥산다이올, 글리세린, 글리세레스-26, 베타인, 펜틸렌글라이콜, 소듐시트레이트, 아이소펜틸다이올, 에틸헥실글리세린, 다이포타슘글리시리제이트, 시트릭애씨드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트로메타민, 판테놀, 소듐파이테이트, 알란토인, 소듐하이알루로네이트(1.1ppm), 약모밀소포(750ppb), 하이드롤라이즈드소듐하이알루로네이트(100.1ppb), 징크피씨에이, 하이드록시프로필트라이모늄하이알루로네이트(100ppb), 락토바실러스발효물, 소듐아세틸레이티드하이알루로네이트(10ppb), 하이드롤라이즈드하이알루로닉애씨드(10ppb), 아이소쿼시트린, 쿼세틴, 하이알루로닉애씨드(2.5ppb), 소듐하이알루로네이트크로스폴리머(1ppb), 포타슘하이알루로네이트(0.2ppb)
[크림] 약모밀꽃/잎/줄기수(77%), 나이아신아마이드(1,000 ppm), 1,2-헥산다이올, 판테놀, 글리세린, 다이프로필렌글라이콜, 부틸렌글라이콜, 소듐시트레이트, 징크피씨에이(10 ppm), 프로판다이올, 트레할로오스, 정제수, 베타인, 잔탄검, 스핑고모나스발효추출물, 에틸헥실글리세린, 시트릭애씨드, 하이드록시프로필사이클로덱스트린, 아데노신, 다이소듐이디티에이, 다이포타슘글리시리제이트, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 글루코노락톤, 도코사헥사에노익애씨드, 토코페롤, 알란토인, 피리독신에이치씨엘, 카프릴로일살리실릭애씨드, 약모밀소포, 아이소쿼시트린, 쿼세틴"
"A000000171132","[대용량, 피지/진정케어] 피캄 베리어 사이클 락토P 토너 500ml","피캄","500.0","500.0","ml","43000","23600","472.0","정제수, 부틸렌글라이콜, 프로판다이올, 1,2-헥산다이올, 나이아신 아마이드, 판테놀, 에틸헥실글리세린, 알란토인, 아데노신, 잔탄검, 다이소듐이디티에이, 폴리쿼터늄-51, 월계수잎추출물, 질경이추출물, 소듐하이알루로네이트, 버지니아풍년화수, 곤약뿌리추출물, 소듐구아 이아줄렌설포네이트, 파파야열매추출물, 락토바실러스발효물, 밤부사 불가리스추출물, 편백잎추출물, 소나무잎추출물, 측백나무추출물, 시팀 우드검추출물, 병풀추출물, 티트리잎추출물, 쌀겨추출물, 아시아틱 애씨드, 아시아티코사이드, 마데카식애씨드, 마데카소사이드"
"A000000182486","[대용량] 에스테덤 하이드라 로션 맥스 400ml","에스테덤","400.0","400.0","ml","49000","34300","857.5","정제수, 글리세린, 폴리솔베이트20, 펜틸렌글라이콜, 페녹시에탄올, 소듐시트레이트, 프룩토올리고사카라이드, 프로필렌글라이콜, 시트릭애씨드, 향료, 카르노신, 조류추출물, 다이소듐아데노신트라이포스페이트, 볼도잎추출물, 1,2-헥산다이올, 카프릴릴글라이콜, 잔탄검 (01 ES 019 V4)"
"A000000104169","크리니크 각질케어토너 3 200ml","크리니크","200.0","200.0","ml","43000","36550","1827.5","정제수, 변성알코올, 글리세린, 부틸렌글라이콜, 위치하젤, 살리실릭애씨드, 아세틸글루코사민, 소듐하이알루로네이트, 트로메타민, 비에이치티, 트레할로스, 글라이신, 디소듐이디티에이, 페녹시에탄올, 벤조페논-4, 적색201호, 등색205호, 자색401호 [ILN37368]

*제공된 성분은 동일 제품이라도 경우에 따라 변경될 수 있습니다.  최신정보는 제품 포장의 성분을 참고하시거나 본사 고객관리지원팀으로 연락 부탁 드립니다."
"A000000118247","엠브리올리스 오 드 보떼 로자멜리스 200ml","엠브리올리스","200.0","200.0","ml","32000","27200","1360.0","정제수, 다마스크장미꽃수, 글리세린, 수레국화꽃수, 비터오렌지꽃수, 버지니아풍년화잎수, 피피지-26-부테스-26, 세트리모늄브로마이드, 락틱애씨드, 피이지-40하이드로제네이티드캐스터오일, 시트릭애씨드, 향료, 소듐벤조에이트, 포타슘솔베이트, 소듐하이드록사이드"
"A000000124493","클럽맨리저브 젠트진 에프터쉐이브 50ml","클럽맨피노드","50.0","50.0","ml","","9000","1800.0","변성알코올, 정제수, 향료, 벤질벤조에이트, 시트랄, 시트로넬올, 쿠마린, 유제놀, 리모넨, 리날룰, 인도멀구슬나무꽃추출물, 인도멀구슬나무잎추출"
"A000000124508","클럽맨피노드 머스크 에프터쉐이브코롱 50ml","클럽맨피노드","50.0","50.0","ml","","9000","1800.0","변성알코올, 정제수, 향료, 벤질알코올, 벤질살리실레이트, 시트랄, 시트로넬올, 참나무이끼추출물, 제라니올, 하이드록시시트로넬알, 리모넨, 리날룰, 적색227호, 황색5호"
"A000000124511","클럽맨피노드 클래식바닐라 에프터쉐이브로션 50ml","클럽맨피노드","50.0","50.0","ml","","9000","1800.0","변성알코올,정제수,향료,시트로넬올,쿠마린,유제놀,헥실신남알,리날룰,황색4호"
