"goods_no","product_name","brand_name","ml_표시용량","ml_추정총용량","용량_단위","price_regular","price_sale","price_per_10ml","ingredient"
"A000000240152","[화잘먹] 콜라겐 피디알엔 푸딩 미스트 앰플 100g","채운","100.0","100.0","g(약 1ml 상당으로 근사)","34000","26600","2660.0","정제수, 글리세린, 프로판다이올, 부틸렌글라이콜, 1,2-헥산다이올, 폴리글리세릴-10라우레이트, 칼슘락테이트, 젤란검, 에틸헥실글리세린, 아데노신, 다이소듐이디티에이, 커피콩추출물, 하이드롤라이즈드익스텐신, 향료, 소듐하이알루로네이트, 소듐디엔에이, 사이아노코발아민, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 토코페롤, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 아텔로콜라겐, 데사미도콜라겐, 하이드롤라이즈드콜라겐, 수용성콜라겐, 콜라겐, 콜라겐아미노산, 프로콜라겐"
"A000000240153","[광채톤업] 비타민 푸딩 미스트 앰플 100g","채운","100.0","100.0","g(약 1ml 상당으로 근사)","34000","28900","2890.0","정제수, 글리세린,프로판다이올, 부틸렌글라이콜,나이아신아마이드 (20,000,000 PPB),1,2-헥산다이올, 비타민나무수 (11,760,000 PPB),
폴리글리세릴-10라우레이트, 젤란검, 칼슘락테이트,에틸헥실글리세린, 다이소듐이디티에이 (300,000 PPB),향료, 카카오씨추출물, 황련뿌리추출물 (3,000 PPB),3-0-에틸아스코빅애씨드 (10,000 PPB),스페인감초뿌리추출물 (1,000 PPB), 토코페롤 (250 PPB),소듐하이알루로네이트, 레몬추출물 (100 PPB),하이드록시프로필트라이모늄하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드,하이드롤라이즈드소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트"
"A000000240155","[쿨링진정] 시카 캐비지 푸딩 미스트 앰플 100g","채운","100.0","100.0","g(약 1ml 상당으로 근사)","34000","26600","2660.0","정제수, 글리세린,프로판다이올, 부틸렌글라이콜,1,2-헥산다이올, 병풀잎수 (10,780,000 PPB),폴리글리세릴-10라우레이트, 젤란검, 칼슘락테이트,에틸헥실글리세린, 다이소듐이디티에이 (300,000 PPB),향료, 덱스트린, 치자추출물, 토코페롤 (250 PPB),양배추추출물 (100 PPB),하이드롤라이즈드하이알루로닉애씨드(100 PPB),약모밀추출물 (100 PPB), 알로에베라잎추출물 (100 PPB),카프릴릴글라이콜(20 PPB), 병풀추출물 (10 PPB),병풀잎추출물 (10 PPB), 병풀뿌리추출물 (10 PPB),아시아틱애씨드 (0.01 PPB), 아시아티코사이드(0.01 PPB),마데카소사이드 (0.01 PPB), 마데카식애씨드 (0.01 PPB)"
"A000000240156","[장벽보습] 채운 히알루론 푸딩 미스트 앰플 100g","채운","100.0","100.0","g(약 1ml 상당으로 근사)","34000","28900","2890.0","정제수 , 글리세린(79,600,000 PPB), 프로판다이올, 부틸렌글라이콜,1,2-헥산다이올, 해수(10,670,000 PPB), 폴리글리세릴-10라우레이트, 칼슘락테이트, 젤란검, 에틸헥실글리세린,아데노신, 다이소듐이디티에이 (300,000 PPB), 덱스트린, 향료,치자추출물 (33,400 PPB), 밤부사 불가리스수 (9,200 PPB),효모발효여과물(8,800 PPB), 소듐하이알루로네이트 (1,000 PPB),다발방패버섯추출물 (500 PPB),토코페롤 (250 PPB),하이드록시프로필트라이모늄하이알루로네이트(100 PPB),병풀추출물(100 PPB), 병풀잎추출물 (100 PPB), 병풀뿌리추출물(100 PPB), 하이드롤라이즈드하이알루로닉애씨드(10 PPB),소듐아세틸레이티드하이알루로네이트(10 PPB),하이알루로닉애씨드(2.5PPB), 소듐하이알루로네이트크로스폴리머(1 PPB), 하이드롤라이즈드소듐하이알루로네이트(1 PPB),
포타슘하이알루로네이트(0.2PPB), 마데카소사이드,마데카식애씨드, 아시아틱애씨드, 아시아티코사이드"
"A000000241356","[레오제이PICK] 라씨엘르 신선초 진정에이징 에센스 미스트 50ml","라씨엘르","50.0","50.0","ml","32000","22400","4480.0","병풀잎수(386,000ppm),정제수,카프릴릭/카프릭트라이글리세라이드,펜틸렌글라이콜,글리세린,프로판다이올,바쿠치올(5,000ppm),알지닌,레불리닉애씨드,소듐아니세이트,호호바씨오일(2,000ppm),동백나무씨오일(2,000ppm),부틸렌글라이콜,베타인,신선초잎/줄기추출물(1,000ppm),아데노신,인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물,귤껍질추출물,하이알루로닉애씨드,아이비고드열매추출물,가지열매추출물,마데카소사이드,아시아티코사이드,병풀추출물,옥수수잎추출물,홀리바질잎추출물,참산호말추출물,울금뿌리추출물,아시아틱애씨드,마데카식애씨드,로즈우드오일,아리비안자스민꽃추출물,리날룰"
"A000000242632","[장벽미스트/안개분사] 나인위시스 하이드라 판테톨 베리어 미스트 120ml","나인위시스","120.0","120.0","ml","23000","18400","1533.3","정제수, 글리세린, 다이프로필렌글라이콜, 글리세레스-26, 나이아신아마이드, 판테놀(20,000ppm), 트라이에틸헥사노인, 다이페닐다이메티콘, 1,2-헥산다이올, 자일리틸글루코사이드(6,000ppm), 트레할로오스, 안하이드로자일리톨(4,200ppm), 에틸헥실글리세린, 하이드로제네이티드레시틴, 폴리글리세릴-10올레에이트, 자일리톨(1,800ppm), 베타인, 소듐시트레이트, 글루코오스(600ppm), 글리세릴폴리메타크릴레이트, 시트릭애씨드, 아데노신, 알란토인, 다이소듐이디티에이, 마리스알툼, 소듐하이알루로네이트, 락토바실러스발효용해물, 부틸렌글라이콜, 세라마이드이오피, 세라마이드엔에스, 세라마이드엔피, 세라마이드에이피"
"A000000244498","코스알엑스 더 세라마이드 스킨 베리어 모이스처라이징 미스트 120ml","코스알엑스","120.0","120.0","ml","","24000","2000.0","정제수, 글리세린, 부틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드폴리(C6-14올레핀), 다이메티콘, 세틸에틸헥사노에이트, 하이드록시프로필비스라우라마이드엠이에이(10,000 ppm), 1,2-헥산다이올, 콜레스테롤, 소듐서팩틴, 글리세릴카프릴레이트, 에틸헥실글리세린, 다이소듐이디티에이, 베헤닉애씨드, 스쿠알란, 판테놀, 알란토인, 하이드로제네이티드레시틴, 세테
아릴알코올, 토코페롤, 베타인, 스테아릭애씨드, 프로판다이올, 소듐피씨에이, 소듐하이알루로네이트, 소듐락테이트, 피씨에이, 세린, 알라닌, 글라이신, 하이드롤라이즈드하이알루로닉애씨드, 세라마이
드엔피(55 ppb), 글루타믹애씨드, 소듐하이알루로네이트크로스폴리머, 라이신에이치씨엘, 트레오닌, 알지닌, 하이알루로닉애씨드, 세라마이드엔에스(15 ppb), 피토스핑고신, 세라마이드에이피(5 ppb), 
세라마이드에이에스(5 ppb), 프롤린, 소듐아세틸레이티드하이알루로네이트, 세라마이드이오피(0.01ppb)"
"A000000244588","눅스 윌 프로디쥬스 멀티 드라이 오일 50ml 기획 (+핸드 앤 네일 크림 15ml)","눅스","50.0","65.0","ml","35000","31500","4846.2","코코-카프릴레이트/카프레이트, 퀸즈랜드넛오일, 다이카프릴릴에터, 카프릴릭/카프릭트라이글리세라이드, 스위트아몬드오일, 유럽개암씨오일, 유차나무씨오일, 동백나무씨오일, 아르간커넬오일, 보리지씨오일, 토코페롤, 해바라기씨오일, 토코페릴아세테이트, 로즈마리잎추출물, 폴리글리세릴-3다이아이소스테아레이트, 정제수, 아스코빅애씨드, 토마토추출물, 향료, 리날룰, 리모넨, 시트로넬올, 제라니올"
"A000000244926","[미니30ml증정/청담샵미스트] 톰 콜라겐 앰플 미스트 73.8ml 기획세트 (본품+미니)","톰","30.0","103.8","ml","49000","25900","2495.2","상품 상세페이지 참고."
"A000000245094","[더블세트] 에스트라 아토베리어365 크림미스트 120ml 2입 기획","에스트라","120.0","240.0","ml","46000","41400","1725.0","정제수, 글리세린, 부틸렌글라이콜, 카프릴릭/카프릭트리글리세라이드, 하이드로제네이티드폴리(C6-14올레핀),디메치콘, 세틸에칠헥사노에이트, 하이드록시프로필비스라우라마이드엠이에이(10,000 ppm), 1,2-헥산디올, 소듐서팩틴, 콜레스테롤, 글리세릴카프릴레이트, 디소듐디티 에이, 에칠헥실글리세린, 베헤닉애씨드, 토코페롤"
